method,Photo,Art_Painting,Cartoon,Sketch,macro
strong_aug,96.57 +/- 0.48,83.50 +/- 1.32,83.16 +/- 1.48,79.89 +/- 2.39,85.78 +/- 1.12
feature_plus_kl,96.07 +/- 0.42,83.74 +/- 0.75,83.83 +/- 0.95,81.23 +/- 2.02,86.22 +/- 0.50
