dataset,method,macro_mean,macro_sample_sd
vlcs,erm,74.7959013820038,0.9268889066623787
vlcs,strong_aug,76.51303966980568,1.314029911742591
vlcs,feature_plus_kl,76.33533145357391,0.8207027827680918
officehome,erm,63.69431869507434,0.5264492398228034
officehome,strong_aug,66.41527014654497,0.5425653492966895
officehome,feature_plus_kl,66.630361804919,0.21044661458707792
