seed,method,corruption,severity,accuracy
42,feature_plus_kl,gaussian_noise,1,0.8554339526597099
42,feature_plus_kl,gaussian_noise,2,0.8544158819037924
42,feature_plus_kl,gaussian_noise,3,0.8526342580809366
42,feature_plus_kl,gaussian_noise,4,0.8546703995927717
42,feature_plus_kl,gaussian_noise,5,0.8521252227029779
42,feature_plus_kl,blur,1,0.8533978111478748
42,feature_plus_kl,blur,2,0.8712140493764317
42,feature_plus_kl,blur,3,0.8793586154237719
42,feature_plus_kl,blur,4,0.8643420717739883
42,feature_plus_kl,blur,5,0.8327818783405446
42,feature_plus_kl,brightness,1,0.8457622804784932
42,feature_plus_kl,brightness,2,0.8460167981674727
42,feature_plus_kl,brightness,3,0.8449987274115551
42,feature_plus_kl,brightness,4,0.8447442097225757
42,feature_plus_kl,brightness,5,0.8444896920335964
42,feature_plus_kl,contrast,1,0.849580045813184
42,feature_plus_kl,contrast,2,0.8523797403919572
42,feature_plus_kl,contrast,3,0.8503435988801221
42,feature_plus_kl,contrast,4,0.8460167981674727
42,feature_plus_kl,contrast,5,0.8421990328327819
42,feature_plus_kl,jpeg,1,0.8533978111478748
42,feature_plus_kl,jpeg,2,0.8508526342580809
42,feature_plus_kl,jpeg,3,0.8531432934588954
42,feature_plus_kl,jpeg,4,0.8544158819037924
42,feature_plus_kl,jpeg,5,0.8597607533723594
